Time, GyroX, GyroY, GyroZ, AccX, AccY, AccZ, Pressure, TempMS, Height, KalHeight
379458,-0.57,-3.22,0.29,0.01,0.99,-0.13,1018.55,6.24,-12.37,-12.37
379528,-1.57,-3.13,-0.33,0.01,0.98,-0.12,1018.55,6.24,-12.37,-12.37
379600,0.07,-2.76,2.16,0.02,0.99,-0.12,1018.44,6.24,-11.5,-11.49
379670,-0.27,-2.82,0.43,0.01,0.99,-0.12,1018.55,6.24,-12.37,-12.37
379741,0.92,1.29,-0.15,0.01,0.99,-0.13,1018.55,6.24,-12.37,-12.37
379811,0.07,0.14,2.83,0,0.98,-0.13,1018.55,6.24,-12.37,-12.37
379893,0.68,-1.95,1.36,0.01,0.99,-0.12,1018.55,6.24,-12.37,-12.37
379950,1.43,0.23,0.46,0.01,0.99,-0.12,1018.44,6.24,-11.5,-11.49
380019,1.04,-2.7,-0.55,0.02,0.98,-0.13,1018.55,6.24,-12.37,-12.37
380090,-1.95,1.77,-0.44,0.01,0.99,-0.14,1018.55,6.24,-12.37,-12.37
380161,-0.94,-2.53,0.7,0.02,0.99,-0.13,1018.44,6.24,-11.5,-11.49
380232,-1.78,-0.03,-0.65,0.01,0.98,-0.13,1018.6,6.26,-12.77,-12.77
380303,0.4,-0.26,2.02,0,0.99,-0.12,1018.44,6.24,-11.5,-11.49
380373,0.88,-2.26,0.72,0.01,0.99,-0.12,1018.44,6.24,-11.5,-11.5
380443,-2.9,7.51,-3.2,0.08,1.07,0.16,1018.44,6.24,-11.5,-11.5
380512,-1.89,13.62,-6.64,0.04,0.9,-0.41,1018.55,6.24,-12.37,-12.37
380585,-1.75,21.62,-4.78,-0.5,0.91,-0.91,1018.44,6.24,-11.5,-11.49
380658,-1.29,15,-2.13,-0.05,1.03,-0.23,1018.55,6.24,-12.37,-12.37
380731,-0.93,-43.13,-6.68,-0.3,1.9,-0.59,1018.44,6.24,-11.5,-11.49
380804,1.87,-58.96,1.5,0.08,2,0.27,1018.44,6.24,-11.5,-11.5
380874,17.59,-10.44,12.02,-0.67,2,-0.29,1018.22,6.24,-9.74,-9.74
380946,25.94,85.01,10.51,-1.01,2,-1.75,1018.22,6.24,-9.74,-9.74
381017,92.22,151.13,35.5,-0.35,2,-0.55,1018.11,6.24,-8.86,-8.86
381089,156.71,-182.99,40.84,-0.05,2,0.1,1018,6.24,-7.99,-7.98
381162,171.35,-244.3,-1.92,-0.18,2,0.01,1017.79,6.24,-6.31,-6.3
381235,148.14,-179.83,-55.14,-0.1,2,0.14,1017.68,6.24,-5.43,-5.43
381309,67.96,-118.61,-90.38,-0.03,2,0.27,1017.57,6.24,-4.55,-4.55
381382,-37.14,-58.96,-75.3,-0.08,2,0.17,1017.35,6.24,-2.8,-2.79
381455,-81.46,-7.54,-19.74,-0.06,2,0.09,1017.02,6.24,-0.16,-0.15
381526,-76.51,8,39.44,-0.09,2,-0.1,1017.02,6.24,-0.16,-0.16
381597,-13.78,-46.09,56.74,-0.03,2,0.04,1016.81,6.24,1.52,1.52
381667,65.14,-86.07,32.98,-0.27,2,-0.42,1016.48,6.24,4.16,4.16
381737,44.92,-97.88,-43.36,-0.1,2,0.04,1016.31,6.26,5.51,5.52
381807,13.3,-67.55,-69.94,-0.24,2,-0.31,1016.04,6.24,7.67,7.68
381877,18.81,-39.45,-55.22,-0.13,2,0,1015.72,6.24,10.23,10.24
381950,32.52,-23.72,10.38,0.07,2,0.25,1015.39,6.24,12.88,12.88
382024,-5.8,-22.94,14.96,-0.04,2,0.33,1015.06,6.24,15.52,15.52
382091,-11.73,3.1,-9.97,-0.12,2,-0.29,1014.74,6.24,18.08,18.09
